Timestamp,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,Speed,Steering_Input,Throttle_Input,Brake_Input,WheelRPM_FL,WheelRPM_FR,WheelRPM_RL,WheelRPM_RR,MotorTorque_FL,MotorTorque_FR,MotorTorque_RL,MotorTorque_RR,BrakeTorque_FL,BrakeTorque_FR,BrakeTorque_RL,BrakeTorque_RR,Action
0,-2.384116,0,218.8974,0,179.6102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maintain Speed
20,-2.384115,0.5288149,218.8974,0.000299925,179.6111,0.000210809,0.3327267,0,0,0,-0.0401573,-0.04015732,-0.0401573,-0.0401573,0,0,0,0,0,0,0,0,Maintain Speed
40,-2.384117,0.5406566,218.8976,359.9757,179.6112,0.000181777,0.5921631,0,0,0,0.07940508,0.06005506,0.07940506,0.06005507,0,0,0,0,0,0,0,0,Maintain Speed
60,-2.384119,0.5561389,218.8979,359.9466,179.6112,0.000153613,0.7741889,0,0,0,0.0506355,0.0496786,0.05063549,0.0496786,0,0,0,0,0,0,0,0,Maintain Speed
80,-2.384121,0.5740109,218.8982,359.9167,179.6112,0.000123492,0.8936781,0,0,0,0.02690319,0.02665108,0.02690319,0.02665106,0,0,0,0,0,0,0,0,Maintain Speed
99.99999,-2.384123,0.5930868,218.8985,359.8895,179.6112,9.24E-05,0.9538572,0,0,0,0.005585449,0.005563264,0.005585452,0.005563268,0,0,0,0,0,0,0,0,Maintain Speed
120,-2.384125,0.6122924,218.8987,359.8676,179.6112,6.12E-05,0.9603161,0,0,0,-0.01608996,-0.01589133,-0.01608997,-0.01589133,0,0,0,0,0,0,0,0,Maintain Speed
140,-2.384126,0.6306998,218.8988,359.8531,179.6112,3.13E-05,0.9203889,0,0,0,-0.03997095,-0.03957323,-0.03997094,-0.03957324,0,0,0,0,0,0,0,0,Maintain Speed
160,-2.384127,0.6475511,218.8989,359.8474,179.6111,2.92E-06,0.8425718,0,0,0,-0.06631999,-0.06576838,-0.06631999,-0.06576838,0,0,0,0,0,0,0,0,Maintain Speed
180,-2.384127,0.66227,218.8988,359.851,179.6111,-2.29E-05,0.7359456,0,0,0,-0.09378278,-0.09313808,-0.09378278,-0.09313808,0,0,0,0,0,0,0,0,Maintain Speed
200,-2.384126,0.6744632,218.8987,359.8639,179.6111,-4.50E-05,0.6096716,0,0,0,-0.11988,-0.1192075,-0.11988,-0.1192075,0,0,0,0,0,0,0,0,Maintain Speed
220,-2.384125,0.6839128,218.8985,359.8851,179.6111,-6.34E-05,0.4725392,0,0,0,-0.1415495,-0.140908,-0.1415495,-0.140908,0,0,0,0,0,0,0,0,Maintain Speed
